query,organization
Woman passenger in stopped at toll road 100 112 neither reachable. Police constables nearby don't care.,DelhiPolice
there is not enough arrangements for drinking water in Train 12265 .,RailMinIndia
Some good observations on tax data published by.,IncomeTaxIndia
Sir plz help me to take tablet . I ran out of water. Plz tell me where I get drinking water. Pnr 4418216792.,RailMinIndia
cleaning still required at platform No. 9 @ Gorakhpur Railway Station.,RailMinIndia
Why is not giving daily long distance mail/Exp trains to TKG even after 5 yrs of gauge conversion? 1/n.,RailMinIndia
thank u so much for quick response. Water was filled in at Vijayawada.,RailMinIndia
The Fan not working in Ahmedabad chennai navjeevan exp PNR 8530442888 urgent in summer difficult to sit.,RailMinIndia
Sovereign Unnathi bldr don't pay VAT etc. as per law seems OK wt Only honest r harassed.,IncomeTaxIndia
no confirm seats fr 83 cadets of Sainik School Rewari Min of Def help required by adding extra coach.,RailMinIndia
Good morning Being decent Post no evil Report evil.,DelhiPolice
Now cancellation of tickets made easy.,RailMinIndia
222 children rescued/reunited with their flys in 2015-16 frm stns.,RailMinIndia
Dear sir One fraud person or a group is doing fraud with common men in Dwarka for rented accommodation 1/3.,DelhiPolice
Bunch of Complaints are there for tht person bt he is still roaming freely and cheating people very often2/3.,DelhiPolice
it's official Maha pays 40 pc of inc tax yet drought bad road infra issues. Doesn't make sense.,IncomeTaxIndia
"Here we can prove that """"Rules are for fools"""".",dtptraffic
Safesavaari has launched an app for Women safety. Need some help in connecting with.,dtptraffic
girls going by Amravati fm BBSR tomato for national game. kindly ensure conf seat.,RailMinIndia
One of the rich in black money place in Tamilnadu is Thiruvanamalai. Even highest premium for insurance. Wakeup.,IncomeTaxIndia
24*7 trucks and buses are parked outside girls govt school East of Kailash. Police takes bribe.,DelhiPolice
my tweets r not fr criticism. Its fr reality. pls tak it in ryt perspective. Cleanliness at anvt is good. Man at work 4 cleaning.,RailMinIndia
buses and trucks parked 24*7 outside girls govt school no. 2 East of Kailash. Insecure.,dtptraffic
"get """"Patanjali"""" in2 restaurants chains in railway stations -so that our nextGen. eats healthy and stops eating less pizzasand kFC.",RailMinIndia
booked d ticket n 12160 given pref to lower birth as SRctznand kid is there but didnt get.,RailMinIndia
Just in: SHO arrested by .,DelhiPolice
. will someone pls audit the necessity of floods of delhi govt' odd even on national channels? lakhs trees cud ve been planted.,DelhiPolice
. SHO Dinesh Kumar has been arrested in a case of Ambetment to Suicide of a lady in North Delhi.,DelhiPolice
Subject to 30%ECC SupremeCourt allows to buy 190 diesel vehicles for VVIP security prisoners towing other vehicles etc!,DelhiPolice
ITN BREAKING Delhi Police SHO Dinesh Kumar of Vijay Vihar area Arrested for torturing a woman to death.,DelhiPolice
And talks about women safety. Irony just died. SHO of a police station arrested for torturing a girl to death. Shame.,DelhiPolice
Lots of people facing problem in travelling between Gwalior and kotaeducation Hub in which most of student.,RailMinIndia
i think your first priority should be late running trains. rest comes. far behind.,RailMinIndia
SC allows to get its 190 diesel vehicles of 2000 cc and above.,DelhiPolice
sho of delhi vijay vihar has been arrested on charge of abetment to suicide.,DelhiPolice
to pay 30% environmental compensation charge to buy spl disel vehicles over 2000 CC. SC [ANI].,DelhiPolice
SHO Dinesh Kumar of Vijay Vihar area arrested for torturing a woman to death. . She committed suicide outside tees hazari crt.,DelhiPolice
arrested his own Insp for torturing a woman to death. Lady committed suicide yesterday. Insp Dinesh Kr posted as SHO Vijay Vihar.,DelhiPolice
You guys are good for nothing. Delhinotsafe. Help Sonu.,DelhiPolice
It's more than 3 month of FIR but no action by local police.,DelhiPolice
Gender sensitization with Delhi Police Women understanding Gender and imbibing gender neutral beahvior.,DelhiPolice
Attched pic of Auto and Driver. Overcharging and Rude behaviour. Frm AIIMS to. Defence. Colony.,dtptraffic
4/4 Kindly take necessary action immediately.,RailMinIndia
Regd of 2000 cc diesel vehicles allowed but only of on payment of green cess.,DelhiPolice
In India only Death leads to Justice.,DelhiPolice
Sir there is problem in registering e-demand for rake on FOIS but inspite of all attempts same has not been sorted out.,RailMinIndia
Many Dtc bus n Orange buses overspeed to 60 kmph n drive zigzag. pls tk note.,dtptraffic
Nellaiexp 12631/32 gonna get LHB soon! I'm waiting? LHB. Nellai.,RailMinIndia
Recharged Rs. 200 in UTS wallet at 9 am today not credited yet.,RailMinIndia
Do you provide hand towel in 3AC. 12391 Shramjivi Exp.,RailMinIndia
W/NE/IZN/000110911 i registered my complaint till now not got any reply. plz do needfull. source:customercare.,RailMinIndia
from customercare not got reply of my compalint W/NE/IZN/000110911.,RailMinIndia
Plz do the nedful in uttam ngr Due to fruit sellers nd rickshaws we r facing huge trafic on daily bases.,dtptraffic
SC allows DJB to buy 250 water tankers 190 vehicles above 2000cc subject to 30%t ECC.,DelhiPolice
official TATKAL bk hrs fr AC 10-11am n fr SL 11-12noon. Actually it is AC 10:00-10:02am n fr SL 11:00-11:04am.,RailMinIndia
My Dad met an incident on way 2 Anand vihar ISBT. FIR lodged with Vivek Vihar PS. Can DP provide fedbck.,DelhiPolice
Why recruit 10th pass jats/gurjars when the majority population r uni graduates and english speaking.,DelhiPolice
happy to detain you for hours but no provision for drinking water. tea/coffee. station canteen no FSSAI certification.,DelhiPolice
money deducted ticket not booked by nor they are refunding can I register complaint online or I need to visit.,DelhiPolice
In A First Income Tax Data Is Made Public. Here Are The Key Findings.,IncomeTaxIndia
: no cleaning with phimol in the coach toiletand basin full with water in train no 14806 barmer to ypr now left Bhagalkot.,RailMinIndia
Now compulsory yoga classes for Thank you Modiji. yoga. yoga every damn day. Narendra Modi.,DelhiPolice
Illegal cnstrction by crpf Insp. Dilbag Khan Need help urgently .,DelhiPolice
traffic congestion at Kalkaji temple road towards Okhla . Breakdown of DTC bus . Pls act ASAP.,dtptraffic
THE KGP STATION TOILET IS VERY DIRTY.,RailMinIndia
Sir train no 11102 always 2 hrs late dept frm source station GWL y not u change timing of 11102 train.,RailMinIndia
sir plaese merge two memu local into one at the office and college going and coming time.,RailMinIndia
Spanish Tolga Train! Another Gatiman Gift to India by Gatiman Rail Minister!,RailMinIndia
[IRCTC 3301081] Ticket ID. says amount has been rfnded but bank officials say no such amount rcvd. Pls resolve.,RailMinIndia
I am unable to see the running status of link express 22925 pnr is 8246887586 its nit showing of any date.,RailMinIndia
fan not working give us basic facility bullet train latter.,RailMinIndia
naaam se ek company logo ko kafi loot rahi hai pls help sending froud products.,DelhiPolice
TRAIN:12719 Ajmer Hyd express B3 bogie doesn't look cleaned. Passengers fault? Please get it cleaned. Thanks.,RailMinIndia
sir complaints abt train running late always and no information abt it to the passenger 12335 Bhagalpur express.,RailMinIndia
The refund for PNR: 8533748798 and 8146432161. Is not yet done. It's been 14-15 days till now. How much more time it will take?,RailMinIndia
SC allows to purchase 190 Special diesel vehicles for VVIP high security. contd.,DelhiPolice
Hope take action if acc was hacked get the culprit or arrest this man for threatening people in DM.,DelhiPolice
SM Sahai IPS speaking on Radicalization: Radicalised Isalm gaining ground in Kashmir.,DelhiPolice
Jamiyat and Jamat rapidly increasing their base: Sahai. IPSA Knowledge Series.,DelhiPolice
Shrinking space for mainstream political parties: Sahai. IPSA Knowledge Series.,DelhiPolice
Educated yourh with superficial understanding of Islam getting radicalised: Sahai. IPSA Knowledge Series.,DelhiPolice
a employee with a railway id card at sdah statn dnt alow me to use ATVM by my own.,RailMinIndia
SK Singh IG NIA to speak now on Investigations. Police. IPSA Knowledge Series.,DelhiPolice
13 intl legal instruments to deal with terrorism: Singh. Police. NIA. IPSA Knowledge Series.,DelhiPolice
Brijesh Singh IPS Cyber Security Mumbai Police also a speaker. IPSA Knowledge Series.,DelhiPolice
He is speaking on Use of Social Media in Radicalization. IPSA Knowledge Series.,DelhiPolice
Techy is acting as great enabler of radicalisation: Brijesh. IPSA Knowledge Series.,DelhiPolice
Romance Scam is a worrying trend where vulnerable women trapped. Police. IPSA Knowledge Series.,DelhiPolice
Govt is taking our data to protect us. Police. IPSA Knowledge Series.,DelhiPolice
He is speaking on Psychology of a Jihadist. Police. IPSA Knowledge Series.,DelhiPolice
is odd-even over or still going on? have to go to Delhi to for an interview today is even day and my car has odd number.,dtptraffic
Jihadists are of 4 kinds - Islamic political social criminal: Sarangi. IPSA Knowledge Series.,DelhiPolice
No one can be brainwahsed into terrorism: Sarangi. Police. IPSA Knowledge Series.,DelhiPolice
Gatimaan exp- Best train by GOI. SUPERFAST CLEAN bt bad catering and no wifi connectivity. Pls look into it.,RailMinIndia
It's a good start helping a lot to file tds return. Let's check it tomorrow.,IncomeTaxIndia
RPF staff at NDLS STATION are RISHWATKHOR. They are giving space for well built people in divyang coach and taking money.,RailMinIndia
Train Tickets for Goa availble- CR AC special train booking 01. 05. 2016.,RailMinIndia
Awareness drive regarding Road safety in Rohin by thanks 4 support.,dtptraffic
Literally hell No water in train bathrooms fans are not working at train 18238 pnr- 2863614582. plz help sir.,RailMinIndia
Train Nr16603. B1 Coach. Toilet is so horrible never flushed stool. Very much stinking. Seat 33 to 40.,RailMinIndia
Suvidha Superfast Special Trains between Secunderabad-Patna.,RailMinIndia
Delhi permits Green Belt to be cut down at busy Moolchand Traffic intersectionViolating. NGT.,dtptraffic
Jute Bags were produced till 1980's in WB. Restarting the closed industry produces jobs imp.,RailMinIndia
kantnagar mainroad light not working result traffic jams. in front of aggarwal sweets.,dtptraffic
traffic police duty to cut challans first or to handel traffic ? Check out kanti nagar red light in front of aggarwal sweets.,dtptraffic
Is on verge of splitting with creation of Special Commissioner of Police New Delhi -- NDMC range post.,DelhiPolice
Guru Teg Bahadur Hospital Dilshad Garden red light could be free if your department make U-turn on Red light.,dtptraffic
There is shortage of sweepers CP Delhi worried over this.,DelhiPolice
TT checked that tickets and confirmed its not valid to travel under RS quota and charged him Rs. 1600 for ticketless travelling.,RailMinIndia
urgent Request for confirmation of seat single girl travelling PNR:2417712018 TRAIN:12231.,RailMinIndia
worst quality of tea at a very exorbitant price of Rs. 10 Wud u like to drink such a tea.,RailMinIndia
Plz 13168 ko timely chalao. 2 ghante late chal rahi hai. Without station stop na karo. Plz.,RailMinIndia
restaurants giving sale invoice without Tin no. nd tax detail. Is this permissible ?,IncomeTaxIndia
Best for disturbing common man on road by keeping traffic jam goes to . . big roads in vain.,DelhiPolice
sir we do not have Pantry car in train number 16230 Varanasi to Mysore  as this will run for 2. 5 days please add up PC coach.,RailMinIndia
186 challans by on last day of Odd Even Dobara. Think that's the lowest. Either Delhi is complying big time or cops are bored.,dtptraffic
ODD EVEN 2. 0 final Stat Over 7000 challans. Over ₹1. 50 Crore collected as fine. Highest challans on Day 11311.,DelhiPolice
Dear could you please investigate if this handle was hacked?,DelhiPolice
PNR:2317665213 TRAIN:12016 DOJ:30-04-16 CC Pathetic food Seems food quality is compromised heavily.,RailMinIndia
